,Winter,Spring,Summer,Fall,period,rcp,zone
CanESM2,4.270364072873348,8.215890281478101,8.928456563042921,8.374632904843637,1971-2000,rcp45,Contributing Zone
CCSM4,4.269865874501526,8.725400963759052,9.156324181610886,8.559419332012915,1971-2000,rcp45,Contributing Zone
CNRM-CM5,4.52601166260831,8.085967537055037,8.79593673486686,7.958265408197396,1971-2000,rcp45,Contributing Zone
CSIRO-Mk3-6-0,4.538583120510754,7.7118264369402425,8.999903938034496,9.401122761946105,1971-2000,rcp45,Contributing Zone
GFDL-ESM2G,4.0801870345156805,7.689226234213908,8.778420132286161,8.990719798556972,1971-2000,rcp45,Contributing Zone
GFDL-ESM2M,4.299889621209374,8.294242168039121,9.372122631591134,9.037876806501249,1971-2000,rcp45,Contributing Zone
HadGEM2-CC365,4.542095323988233,8.254849660175736,9.412318407736866,8.039593506067517,1971-2000,rcp45,Contributing Zone
HadGEM2-ES365,4.7976846502820925,7.705051425190036,9.628361785717567,8.98264200433892,1971-2000,rcp45,Contributing Zone
inmcm4,4.771545201325091,7.92479950304962,9.028880579907085,8.89431521505036,1971-2000,rcp45,Contributing Zone
IPSL-CM5A-LR,4.410066785619101,7.704910443685083,8.786124893779037,8.502921330426949,1971-2000,rcp45,Contributing Zone
IPSL-CM5A-MR,4.276661061669448,7.1283862270656115,9.16095609986516,8.41683139125204,1971-2000,rcp45,Contributing Zone
IPSL-CM5B-LR,4.516651355596741,7.44288420819919,8.575728296498104,8.700502115322344,1971-2000,rcp45,Contributing Zone
MIROC-ESM-CHEM,4.276516742263649,8.015613303985035,9.069610656678082,8.662069651432747,1971-2000,rcp45,Contributing Zone
MIROC-ESM,4.23935639796256,8.204420695404128,8.754946237776787,9.457952119510994,1971-2000,rcp45,Contributing Zone
MIROC5,4.02913200788031,7.407963649447763,8.739785956244997,7.744628948696259,1971-2000,rcp45,Contributing Zone
MRI-CGCM3,4.486420802830169,7.825027297265037,9.103469014774745,8.17749115667881,1971-2000,rcp45,Contributing Zone
NorESM1-M,4.659904288390277,8.205177631903737,8.89640132752302,8.23040967353618,1971-2000,rcp45,Contributing Zone
bcc-csm1-1-m,4.336688908331394,7.949492789177437,8.816551445937325,8.758011505776409,1950-2005,rcp45,Contributing Zone
bcc-csm1-1,4.3810516556950665,7.938105981209291,8.983064558817869,8.535035992065145,1950-2005,rcp45,Contributing Zone
BNU-ESM,4.398431561872767,8.05114328754609,8.68985248176561,8.711193096550693,1950-2005,rcp45,Contributing Zone
CanESM2,4.338503973266959,7.945360537275796,8.93932016777407,8.618934267013424,1950-2005,rcp45,Contributing Zone
CCSM4,4.302129957514248,8.05865700500548,8.835729222112672,8.646781056430854,1950-2005,rcp45,Contributing Zone
CNRM-CM5,4.365725545885191,7.974686961631706,8.967179642166323,8.536963488287942,1950-2005,rcp45,Contributing Zone
CSIRO-Mk3-6-0,4.3518290377748015,7.9655928673323375,8.810781002783687,8.730452340080321,1950-2005,rcp45,Contributing Zone
GFDL-ESM2G,4.291862483701287,8.017350589823968,8.930488546776868,8.599439981966036,1950-2005,rcp45,Contributing Zone
GFDL-ESM2M,4.335217182193985,7.980446254040702,8.793182517881954,8.749767827742712,1950-2005,rcp45,Contributing Zone
HadGEM2-CC365,4.332591606805146,7.9407116492751415,8.951736553084775,8.62581447386522,1950-2005,rcp45,Contributing Zone
HadGEM2-ES365,4.262537129804622,8.046704547530451,8.831549813099965,8.726071700432502,1950-2005,rcp45,Contributing Zone
inmcm4,4.402451275158427,7.942013509028916,8.99283454393744,8.498399100453963,1950-2005,rcp45,Contributing Zone
IPSL-CM5A-LR,4.40982976856993,7.9546662076805505,9.00050744021077,8.493534215151717,1950-2005,rcp45,Contributing Zone
IPSL-CM5A-MR,4.39780192663574,7.892457135780776,8.939395258183593,8.622499777349368,1950-2005,rcp45,Contributing Zone
IPSL-CM5B-LR,4.316998252403791,8.005177251580653,8.855911377437105,8.66163790912612,1950-2005,rcp45,Contributing Zone
MIROC-ESM-CHEM,4.336655811899807,7.933522968635518,8.803078380104388,8.786177747647368,1950-2005,rcp45,Contributing Zone
MIROC-ESM,4.355743617281173,7.937172777122918,8.868604707331833,8.692759861144339,1950-2005,rcp45,Contributing Zone
MIROC5,4.359079380744494,8.007625717176866,8.800448784277032,8.69341700501756,1950-2005,rcp45,Contributing Zone
MRI-CGCM3,4.325862603535763,8.054997121420957,8.842890627386769,8.622528424078324,1950-2005,rcp45,Contributing Zone
NorESM1-M,4.334697471163977,7.98389407136963,8.860702131174696,8.672302487354635,1950-2005,rcp45,Contributing Zone
bcc-csm1-1-m,4.32700850216617,7.297553992993639,8.15454157842261,9.767222814804143,2010-2039,rcp45,Contributing Zone
bcc-csm1-1,4.939955599325943,7.5700048317050745,6.922585573179716,10.843604086325033,2010-2039,rcp45,Contributing Zone
BNU-ESM,4.7549558576013125,8.816314035800783,7.6523638356074395,8.236322131469002,2010-2039,rcp45,Contributing Zone
CanESM2,3.6413933998605876,7.607682123974389,9.848361162047675,8.087679568834314,2010-2039,rcp45,Contributing Zone
CCSM4,3.9941575301216297,8.363882801336521,9.957660725366969,8.439551346005455,2010-2039,rcp45,Contributing Zone
CNRM-CM5,4.603088530461361,8.433221640962554,9.075474154426857,6.8486627523004335,2010-2039,rcp45,Contributing Zone
CSIRO-Mk3-6-0,4.1788433384740955,7.495006940545196,10.319010387555508,7.894533864395254,2010-2039,rcp45,Contributing Zone
GFDL-ESM2G,3.1719582160844517,7.324858442787823,8.651125083764828,7.767930774922661,2010-2039,rcp45,Contributing Zone
GFDL-ESM2M,5.078887732464224,8.200902282497342,9.403306033553005,9.047685417924612,2010-2039,rcp45,Contributing Zone
HadGEM2-CC365,3.703354947441081,7.813166222010585,9.862844964609298,7.313872668365098,2010-2039,rcp45,Contributing Zone
HadGEM2-ES365,4.3484268047265795,8.100806678132543,7.256158831737351,8.848572626805932,2010-2039,rcp45,Contributing Zone
inmcm4,3.6444755398942625,8.050018975924614,9.750830643490321,8.939176760569651,2010-2039,rcp45,Contributing Zone
IPSL-CM5A-LR,3.802542084559349,6.2330034099567255,7.7907041911182064,8.002543983753375,2010-2039,rcp45,Contributing Zone
IPSL-CM5A-MR,4.751608777539163,8.011186887206831,9.86194243279918,8.515198343615506,2010-2039,rcp45,Contributing Zone
IPSL-CM5B-LR,4.770184335116296,9.13348611404158,9.406973659905224,9.346972121827815,2010-2039,rcp45,Contributing Zone
MIROC-ESM-CHEM,3.8936621468723627,7.580196659456,6.971738397582712,8.169645039625934,2010-2039,rcp45,Contributing Zone
MIROC-ESM,4.36603157038787,9.00144428544853,11.723956163113144,9.483847188037709,2010-2039,rcp45,Contributing Zone
MIROC5,4.664276131021928,7.769000179833148,9.41544850064177,6.531539497155111,2010-2039,rcp45,Contributing Zone
MRI-CGCM3,3.7165763838297803,8.197760533106722,9.62348484596967,8.79243966671941,2010-2039,rcp45,Contributing Zone
NorESM1-M,4.794325687510658,8.66833809237987,9.813978245981115,7.768946749949735,2010-2039,rcp45,Contributing Zone
bcc-csm1-1-m,4.893624490300069,7.6808600194332834,8.923973717977624,9.276813087306136,2040-2069,rcp45,Contributing Zone
bcc-csm1-1,4.746791659276879,7.820833580828286,7.8303077181154865,9.530039961040618,2040-2069,rcp45,Contributing Zone
BNU-ESM,4.4633135247094735,9.189944728139357,7.573163335049058,7.935130509506409,2040-2069,rcp45,Contributing Zone
CanESM2,3.5128918128183075,7.565523018817462,9.146383411155071,8.495173529783061,2040-2069,rcp45,Contributing Zone
CCSM4,3.7218746815102453,8.04764262932954,8.18304873161607,9.662229527726945,2040-2069,rcp45,Contributing Zone
CNRM-CM5,4.5769626743205025,8.269964858901972,10.180103379022071,8.21005575156095,2040-2069,rcp45,Contributing Zone
CSIRO-Mk3-6-0,4.698749649932148,8.757602358976087,11.757808192761576,9.946028290930439,2040-2069,rcp45,Contributing Zone
GFDL-ESM2G,3.556890385882798,7.076660664130443,8.225457806419843,7.756420760104692,2040-2069,rcp45,Contributing Zone
GFDL-ESM2M,4.281780656383321,7.806801466924403,11.104091528226913,9.044713801324134,2040-2069,rcp45,Contributing Zone
HadGEM2-CC365,4.420104066972746,8.867166735742355,8.086624312971296,9.172478021569177,2040-2069,rcp45,Contributing Zone
HadGEM2-ES365,4.960972895547831,8.002451827663212,7.153143959567828,7.9893342391477855,2040-2069,rcp45,Contributing Zone
inmcm4,4.4818725939890145,7.372240338683445,11.078340492879008,8.93294914875868,2040-2069,rcp45,Contributing Zone
IPSL-CM5A-LR,3.415772231951813,6.296434362794803,7.289249554485245,7.701532790365763,2040-2069,rcp45,Contributing Zone
IPSL-CM5A-MR,3.217343745132901,6.723661744925339,6.379964113421314,6.338166760521454,2040-2069,rcp45,Contributing Zone
IPSL-CM5B-LR,4.565251712986982,8.654120033086057,10.273066899193392,10.182782620365096,2040-2069,rcp45,Contributing Zone
MIROC-ESM-CHEM,4.891588663149095,7.928221092412769,7.744337229250908,8.843824032107323,2040-2069,rcp45,Contributing Zone
MIROC-ESM,4.0979697592985564,9.591658281162182,10.898024217721792,9.05951666102344,2040-2069,rcp45,Contributing Zone
MIROC5,4.201283140058934,7.829843579452374,11.228812688750667,6.734661203169749,2040-2069,rcp45,Contributing Zone
MRI-CGCM3,3.688591730346319,8.638295276629197,11.75447745055304,9.520208214891447,2040-2069,rcp45,Contributing Zone
NorESM1-M,4.462990305285672,7.8547173295229875,7.68952301662219,7.452905602915472,2040-2069,rcp45,Contributing Zone
bcc-csm1-1-m,4.885282303389927,7.248386337696874,6.699126606132091,9.01420356872677,2070-2099,rcp45,Contributing Zone
bcc-csm1-1,5.244015673335514,7.614780790044588,6.717047835790745,7.7826754598458505,2070-2099,rcp45,Contributing Zone
BNU-ESM,4.528014566725837,7.448730207284405,6.889537235711493,7.261880843316155,2070-2099,rcp45,Contributing Zone
CanESM2,3.9849511290114195,8.504163208225032,10.37873165711699,7.8337901510755,2070-2099,rcp45,Contributing Zone
CCSM4,4.360370085140961,8.807613189281296,7.920138500853597,8.526734895640626,2070-2099,rcp45,Contributing Zone
CNRM-CM5,3.911702491151849,8.565563619789929,9.90954307488146,8.350328481164013,2070-2099,rcp45,Contributing Zone
CSIRO-Mk3-6-0,4.35650442891275,8.735960785014024,11.259008939127716,9.150318962594335,2070-2099,rcp45,Contributing Zone
GFDL-ESM2G,4.068154636137895,7.577406144288246,6.73797315114282,8.28065198462512,2070-2099,rcp45,Contributing Zone
GFDL-ESM2M,4.113261575365478,7.570417386733845,11.115402982193553,9.693141284321882,2070-2099,rcp45,Contributing Zone
HadGEM2-CC365,4.351587696922813,8.69962300426438,8.099617703237175,7.0949941308971365,2070-2099,rcp45,Contributing Zone
HadGEM2-ES365,3.737908963309699,9.077943225535162,8.55819544300637,12.254301005377929,2070-2099,rcp45,Contributing Zone
inmcm4,4.393699583743637,8.265587100393274,11.742228299890016,9.159114620543653,2070-2099,rcp45,Contributing Zone
IPSL-CM5A-LR,3.1142530043999384,6.543805729590626,8.335133759427062,7.842288651091532,2070-2099,rcp45,Contributing Zone
IPSL-CM5A-MR,2.8847650724714073,4.96157548833907,8.907916213792868,6.878450749103937,2070-2099,rcp45,Contributing Zone
IPSL-CM5B-LR,5.038849599235155,8.81171644427934,10.466458308286741,9.874284698811078,2070-2099,rcp45,Contributing Zone
MIROC-ESM-CHEM,5.301966621904356,7.499343356191376,8.770581628694387,8.439060839616571,2070-2099,rcp45,Contributing Zone
MIROC-ESM,3.8059107025371794,7.927093075959823,10.8562306213874,9.610214441158291,2070-2099,rcp45,Contributing Zone
MIROC5,4.281929557970209,8.188595173892612,12.8796584533492,7.37584946135199,2070-2099,rcp45,Contributing Zone
MRI-CGCM3,3.7844683091936755,8.167091369613003,9.600744619312977,11.613253764490091,2070-2099,rcp45,Contributing Zone
NorESM1-M,3.8947886764290613,7.3265009475747105,10.500531886215235,8.167336410038907,2070-2099,rcp45,Contributing Zone
bcc-csm1-1-m,4.383408537658836,8.437558753624154,9.798027331852158,8.88803286002004,1971-2000,rcp85,Contributing Zone
bcc-csm1-1,4.747754113985529,7.756956834102266,9.108292317334547,8.580746039512908,1971-2000,rcp85,Contributing Zone
BNU-ESM,4.511296395534841,8.53001155813884,8.039526796153392,8.452870402510046,1971-2000,rcp85,Contributing Zone
CanESM2,4.270364072873348,8.215890281478101,8.928456563042921,8.374632904843637,1971-2000,rcp85,Contributing Zone
CCSM4,4.269865874501526,8.725400963759052,9.156324181610886,8.559419332012915,1971-2000,rcp85,Contributing Zone
CNRM-CM5,4.52601166260831,8.085967537055037,8.79593673486686,7.958265408197396,1971-2000,rcp85,Contributing Zone
CSIRO-Mk3-6-0,4.538583120510754,7.7118264369402425,8.999903938034496,9.401122761946105,1971-2000,rcp85,Contributing Zone
GFDL-ESM2G,4.0801870345156805,7.689226234213908,8.778420132286161,8.990719798556972,1971-2000,rcp85,Contributing Zone
GFDL-ESM2M,4.299889621209374,8.294242168039121,9.372122631591134,9.037876806501249,1971-2000,rcp85,Contributing Zone
HadGEM2-CC365,4.542095323988233,8.254849660175736,9.412318407736866,8.039593506067517,1971-2000,rcp85,Contributing Zone
HadGEM2-ES365,4.7976846502820925,7.705051425190036,9.628361785717567,8.98264200433892,1971-2000,rcp85,Contributing Zone
inmcm4,4.771545201325091,7.92479950304962,9.028880579907085,8.89431521505036,1971-2000,rcp85,Contributing Zone
IPSL-CM5A-LR,4.410066785619101,7.704910443685083,8.786124893779037,8.502921330426949,1971-2000,rcp85,Contributing Zone
IPSL-CM5A-MR,4.276661061669448,7.1283862270656115,9.16095609986516,8.41683139125204,1971-2000,rcp85,Contributing Zone
IPSL-CM5B-LR,4.516651355596741,7.44288420819919,8.575728296498104,8.700502115322344,1971-2000,rcp85,Contributing Zone
MIROC-ESM-CHEM,4.276516742263649,8.015613303985035,9.069610656678082,8.662069651432747,1971-2000,rcp85,Contributing Zone
MIROC-ESM,4.23935639796256,8.204420695404128,8.754946237776787,9.457952119510994,1971-2000,rcp85,Contributing Zone
MIROC5,4.02913200788031,7.407963649447763,8.739785956244997,7.744628948696259,1971-2000,rcp85,Contributing Zone
MRI-CGCM3,4.486420802830169,7.825027297265037,9.103469014774745,8.17749115667881,1971-2000,rcp85,Contributing Zone
NorESM1-M,4.659904288390277,8.205177631903737,8.89640132752302,8.23040967353618,1971-2000,rcp85,Contributing Zone
bcc-csm1-1-m,4.336688908331394,7.949492789177437,8.816551445937325,8.758011505776409,1950-2005,rcp85,Contributing Zone
bcc-csm1-1,4.3810516556950665,7.938105981209291,8.983064558817869,8.535035992065145,1950-2005,rcp85,Contributing Zone
BNU-ESM,4.398431561872767,8.05114328754609,8.68985248176561,8.711193096550693,1950-2005,rcp85,Contributing Zone
CanESM2,4.338503973266959,7.945360537275796,8.93932016777407,8.618934267013424,1950-2005,rcp85,Contributing Zone
CCSM4,4.302129957514248,8.05865700500548,8.835729222112672,8.646781056430854,1950-2005,rcp85,Contributing Zone
CNRM-CM5,4.365725545885191,7.974686961631706,8.967179642166323,8.536963488287942,1950-2005,rcp85,Contributing Zone
CSIRO-Mk3-6-0,4.3518290377748015,7.9655928673323375,8.810781002783687,8.730452340080321,1950-2005,rcp85,Contributing Zone
GFDL-ESM2G,4.291862483701287,8.017350589823968,8.930488546776868,8.599439981966036,1950-2005,rcp85,Contributing Zone
GFDL-ESM2M,4.335217182193985,7.980446254040702,8.793182517881954,8.749767827742712,1950-2005,rcp85,Contributing Zone
HadGEM2-CC365,4.332591606805146,7.9407116492751415,8.951736553084775,8.62581447386522,1950-2005,rcp85,Contributing Zone
HadGEM2-ES365,4.262537129804622,8.046704547530451,8.831549813099965,8.726071700432502,1950-2005,rcp85,Contributing Zone
inmcm4,4.402451275158427,7.942013509028916,8.99283454393744,8.498399100453963,1950-2005,rcp85,Contributing Zone
IPSL-CM5A-LR,4.40982976856993,7.9546662076805505,9.00050744021077,8.493534215151717,1950-2005,rcp85,Contributing Zone
IPSL-CM5A-MR,4.39780192663574,7.892457135780776,8.939395258183593,8.622499777349368,1950-2005,rcp85,Contributing Zone
IPSL-CM5B-LR,4.316998252403791,8.005177251580653,8.855911377437105,8.66163790912612,1950-2005,rcp85,Contributing Zone
MIROC-ESM-CHEM,4.336655811899807,7.933522968635518,8.803078380104388,8.786177747647368,1950-2005,rcp85,Contributing Zone
MIROC-ESM,4.355743617281173,7.937172777122918,8.868604707331833,8.692759861144339,1950-2005,rcp85,Contributing Zone
MIROC5,4.359079380744494,8.007625717176866,8.800448784277032,8.69341700501756,1950-2005,rcp85,Contributing Zone
MRI-CGCM3,4.325862603535763,8.054997121420957,8.842890627386769,8.622528424078324,1950-2005,rcp85,Contributing Zone
NorESM1-M,4.334697471163977,7.98389407136963,8.860702131174696,8.672302487354635,1950-2005,rcp85,Contributing Zone
bcc-csm1-1-m,4.322295992540888,7.753230621900296,7.743576599121172,10.182536286125682,2010-2039,rcp85,Contributing Zone
bcc-csm1-1,4.600153774294377,7.301916364699239,10.646354350290926,9.305726744068812,2010-2039,rcp85,Contributing Zone
BNU-ESM,4.936117573217233,8.046449043642792,7.82391458440763,8.182377612926961,2010-2039,rcp85,Contributing Zone
CanESM2,3.6728843134832267,9.188131487467452,9.666523126991537,8.116552786952562,2010-2039,rcp85,Contributing Zone
CCSM4,4.3187473847806865,8.950954404381346,9.68059416300765,9.32714632648921,2010-2039,rcp85,Contributing Zone
CNRM-CM5,4.595183349629533,8.682515780190052,10.624916199913699,8.957627250981812,2010-2039,rcp85,Contributing Zone
CSIRO-Mk3-6-0,4.584471169041944,6.962215052204701,7.4501421142539135,8.752170377339864,2010-2039,rcp85,Contributing Zone
GFDL-ESM2G,3.652893713552421,6.812154985528991,8.80388473411751,9.19991652091054,2010-2039,rcp85,Contributing Zone
GFDL-ESM2M,4.001350048307479,8.266889825603876,11.201712431392291,9.101217395116084,2010-2039,rcp85,Contributing Zone
HadGEM2-CC365,4.537576679085032,6.9118351456741305,9.541057036200812,8.415424528277462,2010-2039,rcp85,Contributing Zone
HadGEM2-ES365,4.7149858176839,8.67357776060326,7.456603830219627,8.608729742361607,2010-2039,rcp85,Contributing Zone
inmcm4,4.521873245883346,7.268788637430862,8.660814431006843,9.00192723617351,2010-2039,rcp85,Contributing Zone
IPSL-CM5A-LR,3.503201435132115,7.767679463640758,8.987357010482986,8.789548256647212,2010-2039,rcp85,Contributing Zone
IPSL-CM5A-MR,3.3325575438162414,6.841627502469795,7.1807838618944,6.902916093795045,2010-2039,rcp85,Contributing Zone
IPSL-CM5B-LR,5.374692357863463,8.726591478271022,9.369984524563243,10.723113338723467,2010-2039,rcp85,Contributing Zone
MIROC-ESM-CHEM,4.15326403452071,8.861625317921408,9.986749355450309,8.025878749859567,2010-2039,rcp85,Contributing Zone
MIROC-ESM,4.447176771893296,8.483623937145873,10.703062679296124,9.83209717323509,2010-2039,rcp85,Contributing Zone
MIROC5,4.697765174419878,7.861501485217438,10.845552291525399,7.2006918679562935,2010-2039,rcp85,Contributing Zone
MRI-CGCM3,4.218221582400754,6.916203763284425,10.832987834247724,10.156100824834278,2010-2039,rcp85,Contributing Zone
NorESM1-M,4.393487201308146,7.704935443638514,9.63156985921644,8.096542842179883,2010-2039,rcp85,Contributing Zone
bcc-csm1-1-m,4.214504508314225,8.296313165540688,7.209697202897511,10.093219359643088,2040-2069,rcp85,Contributing Zone
bcc-csm1-1,4.429895549544556,6.894099672054445,8.218582733696158,10.65698229111958,2040-2069,rcp85,Contributing Zone
BNU-ESM,4.288067450432463,7.757544763234991,9.224154424620133,6.718590369085083,2040-2069,rcp85,Contributing Zone
CanESM2,4.0126913845994245,7.78724577261525,9.285225266826254,9.325493390903876,2040-2069,rcp85,Contributing Zone
CCSM4,4.374128299613984,8.64907406091471,8.258984766004762,7.926859537114523,2040-2069,rcp85,Contributing Zone
CNRM-CM5,4.283515848466793,7.563773619837096,8.958469612038197,8.069327685268565,2040-2069,rcp85,Contributing Zone
CSIRO-Mk3-6-0,3.8859161005102107,8.913063218375024,9.748583811839636,8.626381026438304,2040-2069,rcp85,Contributing Zone
GFDL-ESM2G,3.8284942168140157,7.363240651740113,8.226222618905519,8.183164988888443,2040-2069,rcp85,Contributing Zone
GFDL-ESM2M,4.580958611270228,8.824111963827852,9.444018319713427,7.492626895581237,2040-2069,rcp85,Contributing Zone
HadGEM2-CC365,4.358408834288072,8.960487014931447,8.93050933171953,10.437104828311076,2040-2069,rcp85,Contributing Zone
HadGEM2-ES365,4.064851321259701,7.991937322410335,5.764977339016895,10.113822170934736,2040-2069,rcp85,Contributing Zone
inmcm4,4.077496307401651,7.753492912194542,10.177891378806162,7.39054791579482,2040-2069,rcp85,Contributing Zone
IPSL-CM5A-LR,3.1577577341034813,7.285482193324858,7.95737051912539,9.580830474517352,2040-2069,rcp85,Contributing Zone
IPSL-CM5A-MR,3.179284132901879,5.025160633386803,7.7535059389873,6.862675248220126,2040-2069,rcp85,Contributing Zone
IPSL-CM5B-LR,4.342317249632769,8.041276498842283,9.551109352363154,11.410744250314819,2040-2069,rcp85,Contributing Zone
MIROC-ESM-CHEM,4.241999647618935,8.201408173619349,8.48289627997858,8.323059863908865,2040-2069,rcp85,Contributing Zone
MIROC-ESM,4.935411215876496,8.102682411353276,9.095731549664757,9.568282945753971,2040-2069,rcp85,Contributing Zone
MIROC5,4.031648633255712,7.301419565902542,10.169399850608572,7.479208871652876,2040-2069,rcp85,Contributing Zone
MRI-CGCM3,3.360032904242125,8.04138228489151,10.325363673338881,9.32085347230448,2040-2069,rcp85,Contributing Zone
NorESM1-M,3.7885916021596264,8.432779283786294,9.378118750442583,7.742793251912577,2040-2069,rcp85,Contributing Zone
bcc-csm1-1-m,4.543120087793087,7.669204597366433,6.899249119972601,10.507051516809462,2070-2099,rcp85,Contributing Zone
bcc-csm1-1,4.45364270602023,5.448677048993978,5.720354928575458,13.864243870373553,2070-2099,rcp85,Contributing Zone
BNU-ESM,4.724958479159456,7.0606917602772405,8.78264009233613,6.4818823999083035,2070-2099,rcp85,Contributing Zone
CanESM2,3.6586309924532396,7.114557928891299,8.594627954150274,11.598999729113181,2070-2099,rcp85,Contributing Zone
CCSM4,3.262855355876596,8.433901794780468,8.505029726683999,9.372208248100147,2070-2099,rcp85,Contributing Zone
CNRM-CM5,4.080992129556461,7.647021830951102,9.787982226493149,7.495454718887628,2070-2099,rcp85,Contributing Zone
CSIRO-Mk3-6-0,3.2036718306013574,7.687032978692621,10.648783108235978,9.188537200300658,2070-2099,rcp85,Contributing Zone
GFDL-ESM2G,4.25636373870752,6.7867325960589655,6.766864370519811,9.51088559053911,2070-2099,rcp85,Contributing Zone
GFDL-ESM2M,3.25623574816991,7.297053811416347,8.699923946868777,6.962914043493215,2070-2099,rcp85,Contributing Zone
HadGEM2-CC365,4.323477987478485,7.580083805738783,6.900229248829117,9.544766034484482,2070-2099,rcp85,Contributing Zone
HadGEM2-ES365,4.2726309329182435,9.09600678230019,6.855078137294353,11.454850820061269,2070-2099,rcp85,Contributing Zone
inmcm4,3.2206411612879124,6.4748315043621805,12.033264373981657,7.04245721889124,2070-2099,rcp85,Contributing Zone
IPSL-CM5A-LR,2.4149102810438396,5.102502226428536,6.66470987767722,7.828032538031328,2070-2099,rcp85,Contributing Zone
IPSL-CM5A-MR,1.7951655838722103,4.456535184844528,7.710275640301473,6.845400506822608,2070-2099,rcp85,Contributing Zone
IPSL-CM5B-LR,3.6756327941327878,7.276798121697805,9.109604160448843,11.891966672349875,2070-2099,rcp85,Contributing Zone
MIROC-ESM-CHEM,3.6986734296772483,6.83847683132489,8.925341995527788,8.356509407099054,2070-2099,rcp85,Contributing Zone
MIROC-ESM,5.545920486276492,6.4961796894118535,8.069384547133836,9.847547721327551,2070-2099,rcp85,Contributing Zone
MIROC5,3.6241848693529257,6.900306025147464,9.944851312023637,6.25505083380729,2070-2099,rcp85,Contributing Zone
MRI-CGCM3,3.200646516255483,7.53896418889665,7.588493565243521,9.566535253151265,2070-2099,rcp85,Contributing Zone
NorESM1-M,3.397098334887909,7.713888660426733,9.31114897387102,6.627763589889288,2070-2099,rcp85,Contributing Zone
